Trade Date,first,second,days_left,w1,w2,ret
2009-01-12,48.039999999999999,47.740000000000002,6,27.272727272727273,72.727272727272734,0.08036135920336718
2009-01-13,46.670000000000002,46.810000000000002,5,22.727272727272727,77.272727272727266,-0.021956505208729382
2009-01-14,51.789999999999999,50.560000000000002,4,18.181818181818183,81.818181818181813,0.08682175062189046
2009-01-15,53.259999999999998,49.93,3,13.636363636363637,86.36363636363636,-0.004887043070423758
2009-01-16,49.649999999999999,48.530000000000001,2,9.0909090909090917,90.909090909090907,-0.03376787405836945
2009-01-20,57.899999999999999,54.659999999999997,1,4.5454545454545459,95.454545454545453,0.13001215066828675
2009-01-21,49.880000000000003,51.130000000000003,0,0.0,100.0,-0.06813130307855608
2009-01-22,50.539999999999999,47.369999999999997,18,94.736842105263165,5.2631578947368425,-0.011539213768824608
2009-01-23,50.159999999999997,47.200000000000003,17,89.473684210526315,10.526315789473685,-0.007324285072459191
2009-01-26,47.549999999999997,45.630000000000003,16,84.21052631578948,15.789473684210526,-0.05016259819241509
2009-01-27,45.159999999999997,43.509999999999998,15,78.94736842105263,21.05263157894737,-0.04968307544920858
2009-01-28,42.310000000000002,40.75,14,73.684210526315795,26.315789473684209,-0.06317532650568436
2009-01-29,43.380000000000003,40.880000000000003,13,68.421052631578945,31.578947368421051,0.019633458528558467
2009-01-30,44.990000000000002,42.18,12,63.157894736842103,36.842105263157897,0.035503324188724816
2009-02-02,45.350000000000001,42.299999999999997,11,57.89473684210526,42.10526315789474,0.006178604784826458
2009-02-03,43.149999999999999,40.950000000000003,10,52.631578947368418,47.368421052631582,-0.041803523439832735
2009-02-04,43.75,41.100000000000001,9,47.368421052631582,52.631578947368418,0.009186925817136649
2009-02-05,43.25,40.5,8,42.10526315789474,57.89473684210526,-0.013047530288909592
2009-02-06,42.600000000000001,40.100000000000001,7,36.842105263157897,63.157894736842103,-0.012128869235628503
2009-02-09,42.5,40.5,6,31.578947368421051,68.421052631578945,0.005260456761611465
2009-02-10,45.600000000000001,42.899999999999999,5,26.315789473684209,73.684210526315795,0.06372360844529767
2009-02-11,44.600000000000001,42.200000000000003,4,21.05263157894737,78.94736842105263,-0.01786145305334297
2009-02-12,42.549999999999997,41.600000000000001,3,15.789473684210526,84.21052631578948,-0.02119792950456012
2009-02-13,43.600000000000001,42.350000000000001,2,10.526315789473685,89.473684210526315,0.019098644815631838
2009-02-17,48.0,44.049999999999997,1,5.2631578947368425,94.736842105263165,0.046707551260608104
2009-02-18,48.399999999999999,44.850000000000001,0,0.0,100.0,0.01760019027232751
2009-02-19,44.549999999999997,43.200000000000003,19,95.0,5.0,-0.006688963210702337
2009-02-20,46.700000000000003,44.75,18,90.0,10.0,0.04765919181700662
2009-02-23,49.049999999999997,46.899999999999999,17,85.0,15.0,0.05010213955488663
2009-02-24,44.5,43.899999999999999,16,80.0,20.0,-0.08860499717818482
2009-02-25,43.450000000000003,43.25,15,75.0,25.0,-0.02185669220369535
2009-02-26,44.0,43.75,14,70.0,30.0,0.012384792626728203
2009-02-27,44.450000000000003,43.899999999999999,13,65.0,35.0,0.008195788275469518
